00000000,none,0.0,0,Genesis
a923d47643e1c7d0bc3f07afd88b1f6adcdbe4e937baca8c055e3ecdda9c72fc,00000000,17.53611684915042,1,1
f2a21909ca104fa89edb833f67ea5bd8fe635fd7162daa84810497b4fe0b9247,00000000,2.89194707766815,1,0
cc26b0d6ca97ed30e7cf064badf0be8e26cb38fda6599045109d98a4d6b9ac9a,f2a21909ca104fa89edb833f67ea5bd8fe635fd7162daa84810497b4fe0b9247,11.280508665762884,2,0
3fa97d68dc5e53aa7c730586c4a9f50d3deb7eed4b8e26b7568404bbb333a7f9,cc26b0d6ca97ed30e7cf064badf0be8e26cb38fda6599045109d98a4d6b9ac9a,39.68347181732226,3,1
eadcd374a3f09c7503d60908de05c2fd1209202ab70ca021b487e906c8133b27,cc26b0d6ca97ed30e7cf064badf0be8e26cb38fda6599045109d98a4d6b9ac9a,32.861726524280556,3,0
321cab08a0ea563ec576de6a5460528d5e171259d8dfcbb992655ebbc39280dc,3fa97d68dc5e53aa7c730586c4a9f50d3deb7eed4b8e26b7568404bbb333a7f9,51.569361089785744,4,1
c2f965e0364a10b7e92835da9da141f14278936a2d73a32ee4b95a90af19481e,321cab08a0ea563ec576de6a5460528d5e171259d8dfcbb992655ebbc39280dc,55.335520634642585,5,1
557d19852cbe3ca87814a78117f25f2e74a2a0d0f7937fce933996eb55bb6d25,c2f965e0364a10b7e92835da9da141f14278936a2d73a32ee4b95a90af19481e,59.66933266957655,6,1
ab552b7634046a3b3d4f098870398dac1b8b6edd3dae2db4009268def07c851c,557d19852cbe3ca87814a78117f25f2e74a2a0d0f7937fce933996eb55bb6d25,79.9511478618493,7,1
f9d8ef6391f1861cfb3dd55cf2025ee45d6747afd635ed2de51ff7f00dc7b0a3,557d19852cbe3ca87814a78117f25f2e74a2a0d0f7937fce933996eb55bb6d25,67.12333076106451,7,0
d5645cb13ca595fe4cc60a104bb692b0c3e502dbf2f2a2456fbbb92a246d4deb,f9d8ef6391f1861cfb3dd55cf2025ee45d6747afd635ed2de51ff7f00dc7b0a3,72.21791154765506,8,0
97730b0e0b61108190a122849891fcb3fea0026c0f6f6c50ca193ad38e7016a8,d5645cb13ca595fe4cc60a104bb692b0c3e502dbf2f2a2456fbbb92a246d4deb,104.06903010765986,9,1
c429f9e92d89badc4eeb03acfb3cd10c67ede96c9cb07e5f27a72ceedea90c71,97730b0e0b61108190a122849891fcb3fea0026c0f6f6c50ca193ad38e7016a8,106.83644902650175,10,1
18cffdc0f8ac99aaa475b5cf60ef645faaa591ab6ac786efe29f8e58d0c5ff60,c429f9e92d89badc4eeb03acfb3cd10c67ede96c9cb07e5f27a72ceedea90c71,109.93382603899012,11,1
